Time,GN07N_MAIN_POWER,GN07N_SUB_POWER,GN07N_TEMP,GN07N_HIGH_TEMP,GN07N_MID_TEMP,GN07N_LOW_TEMP,GN07N_OVER_TEMP,GN07N_GAS_NRG,GN07N_GAS_AMM,GN07N_GAS_CDO,GN07N_PPIT,GN05N_MAIN_POWER,GN05M_MAIN_POWER,GN05M_TEMP,GN05M_HIGH_TEMP,GN05M_LOW_TEMP,GN05M_OVER_TEMP,GN05M_GAS_NRG,GN05M_GAS_AMM,GN05M_GAS_CDO,GN04N_MAIN_POWER,GN04M_MAIN_POWER,GN04M_TEMP,GN04M_HIGH_TEMP,GN04M_MID_TEMP,GN04M_LOW_TEMP,GN04M_OVER_TEMP,GN04M_GAS_NRG,GN04M_GAS_AMM,GN04M_GAS_CDO,GN03N_MAIN_POWER,GN02N_MAIN_POWER,GN02N_TEMP,GN02N_HIGH_TEMP,GN02N_MID_TEMP,GN02N_LOW_TEMP,GN02N_OVER_TEMP,GN02N_GAS_NRG,GN02N_GAS_AMM,GN02N_GAS_CDO,GN02N_PPIT
2022-01-02_10:16:40,9578.72,296,20.1,490,491,491,498,0,73.2,0,1,3304.57,156,0,520,520,529,0,77,0,6949.05,0,0,40,41,40,37,0,0,0,6.9,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:41,9616.28,298,19.8,490,491,491,498,0,73.2,0,1,1465.13,156,0,520,520,529,0,76.9,0,6880.55,0,0,40,41,40,37,0,0,0,6.5,156,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:16:42,9580.65,296,20.2,490,491,491,498,0,73.3,0,1,1478.86,156,0,520,520,529,0,77,0,7663.71,0,0,40,41,40,37,0,0,0,6.9,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:43,9527.25,296,19.7,490,491,491,498,0,73.2,0,1,1470.54,156,0,520,520,529,0,77,0,8306.63,0,0,40,41,40,37,0,0,0,6.5,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:44,9564.86,296,20.1,490,491,491,498,0,73.2,0,1,1476.16,156,0,520,520,529,0,77,0,7250.3,0,0,40,41,40,37,0,0,0,6.8,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:45,9495.27,294,20,490,491,491,498,0,73.2,0,1,1470.61,155,0,520,520,529,0,77,0,6954.46,0,0,40,41,40,37,0,0,0,6.9,155,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:46,9557.43,300,19.9,490,491,491,498,0,73.2,0,1,1468.39,154,0,520,520,529,0,77,0,6794.86,0,0,40,41,40,37,0,0,0,6.7,154,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:47,9477.82,296,20.1,490,491,491,498,0,73.3,0,1,1473.08,155,0,520,520,529,0,77,0,8007.45,0,0,40,41,40,37,0,0,0,6.8,155,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:48,9564.88,288,20.2,490,491,491,498,0,73.1,0,1,1471.98,155,0,520,520,529,0,77,0,8172.2,0,0,40,41,40,37,0,0,0,5.9,155,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:49,9520.47,294,19.8,490,491,491,498,0,73.1,0,1,138.96,156,0,520,520,529,0,77.1,0,7269.26,0,0,40,41,40,37,0,0,0,6,156,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:16:51,9465.12,301,19.9,490,491,491,498,0,73.4,0,1,138.52,157,0,520,520,529,0,77.1,0,6836.33,0,0,40,41,40,37,0,0,0,5.8,157,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:16:51,9537.77,294,19.9,490,491,491,498,0,73.4,0,1,139.98,156,0,520,520,529,0,77,0,6844.5,0,0,40,40,40,37,0,0,0,6.7,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:52,9608.99,290,20.1,490,491,491,498,0,73.2,0,1,138.78,156,0,520,520,529,0,77.1,0,8168.35,0,0,40,41,40,37,0,0,0,6.3,156,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:16:53,9623.67,300,20,490,491,491,498,0,73.1,0,1,139.68,157,0,520,520,529,0,77.1,0,8354.58,0,0,40,41,40,37,0,0,0,6.4,157,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:16:54,9501.06,302,19.8,490,491,491,498,0,73.2,0,1,139.95,156,0,520,520,529,0,77,0,7222.15,0,0,40,41,40,37,0,0,0,6.1,156,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:55,9596.42,295,20.2,490,491,491,498,0,73.2,0,1,138.19,155,0,520,520,529,0,77,0,6963.26,0,0,40,41,40,37,0,0,0,5.7,155,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:56,9560.75,292,19.8,490,491,491,498,0,73.2,0,1,138.57,157,0,520,520,529,0,77,0,6948.12,0,0,40,41,40,37,0,0,0,6.6,157,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:57,9570.48,297,20.2,490,491,491,498,0,73.2,0,1,137.37,157,0,520,520,529,0,77,0,8189.95,0,0,40,41,40,37,0,0,0,5.4,157,0,520,521,520,529,0,77,0,2
2022-01-02_10:16:58,9630.29,302,20,490,491,491,498,0,73.1,0,1,140.28,156,0,520,520,529,0,77.2,0,8502.46,0,0,40,41,40,37,0,0,0,5.9,156,0,520,521,520,529,0,77.2,0,2
2022-01-02_10:16:59,9580.18,303,19.8,490,491,491,498,0,73.2,0,1,139.23,157,0,520,520,529,0,76.9,0,7303.81,0,0,40,41,40,37,0,0,0,6.5,157,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:00,9607.19,298,20.2,490,491,491,498,0,73,0,1,139.85,154,0,520,520,529,0,76.9,0,6877.53,0,0,40,41,40,37,0,0,0,6,154,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:01,9647.46,291,19.9,490,491,491,498,0,73,0,1,140.59,154,0,520,520,529,0,77.1,0,6932.87,0,0,40,41,40,37,0,0,0,5.5,154,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:02,9593.43,286,20.1,490,491,491,498,0,73,0,1,314.91,158,0,520,520,529,0,77.1,0,8655.64,0,0,40,41,40,37,0,0,0,6.4,158,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:03,9467.6,285,19.8,490,491,491,498,0,73,0,1,1840.48,157,0,520,520,529,0,76.9,0,8818.21,0,0,40,41,40,37,0,0,0,7.9,157,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:04,9480.26,294,20,490,491,491,498,0,73.2,0,1,1839.67,155,0,520,520,529,0,76.9,0,7457.16,0,0,40,41,40,37,0,0,0,6.2,155,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:05,9525.85,302,20.1,490,491,491,498,0,73.1,0,1,1841.9,157,0,520,520,529,0,77.1,0,6983.21,0,0,40,41,40,37,0,0,0,7.4,157,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:06,9648.82,300,19.8,490,491,491,498,0,73.2,0,1,1846.76,159,0,520,520,529,0,77,0,7103.94,0,0,40,41,40,37,0,0,0,6.8,159,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:07,9601.68,290,20.2,490,491,491,498,0,73.3,0,1,1848.03,158,0,520,520,529,0,77.1,0,8226.5,0,0,40,41,40,37,0,0,0,6.8,158,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:08,9630.23,286,19.8,490,491,491,498,0,73.2,0,1,1847.72,157,0,520,520,529,0,76.9,0,8926.21,0,0,40,41,40,37,0,0,0,6.2,157,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:09,9677.2,290,20.1,490,491,491,498,0,73.3,0,1,1849.47,157,0,520,520,529,0,77,0,7464.08,0,0,40,41,40,37,0,0,0,7.4,157,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:10,9554.83,298,20.2,490,491,491,498,0,73.2,0,1,1847.88,158,0,520,520,529,0,77,0,7085.72,0,0,40,41,40,37,0,0,0,7.7,158,0,520,521,520,529,0,77,0,2
